family,axis,model_a,model_b,ordering_basis,delta_RSA_mean,delta_RSA_hdi_low,delta_RSA_hdi_high,delta_Q_mean,delta_Q_hdi_low,delta_Q_hdi_high,p_value_posterior,rope_verdict,q_value_bh,significant_after_fdr
gpt,role,openai-gpt41,openai-gpt4o,alphabetical (no param-count data),-0.007285215136171372,-0.10742598767551746,0.09370916582600257,-0.003634808958721385,-0.05358773201428421,0.04671914325161538,0.8845,undecided,0.9855857142857143,False
llama3,role,ollama-llama31-8b,ollama-llama3-70b,param_count_rank,0.08733096035413375,-0.008240410079777383,0.1944155900715494,0.043008380745557774,-0.006220178125997323,0.09397899108685144,0.0885,undecided,0.26549999999999996,False
llama3,role,ollama-llama32-1b,ollama-llama3-70b,param_count_rank,0.18994487081469486,0.044627867279334404,0.3434749569300698,0.09403991735703551,0.02034868706709003,0.1694911213313738,0.011,undecided,0.10725,False
llama3,role,ollama-llama32-1b,ollama-llama31-8b,param_count_rank,0.1026139104605611,-0.050612128147381086,0.251246096200879,0.05103153661147775,-0.024348791958406384,0.12710545590010575,0.1755,undecided,0.3315,False
llama3,role,ollama-llama32-1b,ollama-llama32-3b,param_count_rank,0.10376305328303524,-0.04120054100869558,0.2577091078872781,0.05160224665986354,-0.021536233583432776,0.12736965578063997,0.169,undecided,0.3315,False
llama3,role,ollama-llama32-3b,ollama-llama3-70b,param_count_rank,0.08618181753165961,-0.009495157966162127,0.18513277311669207,0.04243767069717197,-0.0057034861347670844,0.0900718822592462,0.085,undecided,0.26549999999999996,False
llama3,role,ollama-llama32-3b,ollama-llama31-8b,param_count_rank,-0.0011491428224741284,-0.10390447750170367,0.09546903637413157,-0.0005707100483857953,-0.051067401125330786,0.04828959951634237,0.9825,undecided,0.99,False
mistral,role,ollama-mistral-7b,ollama-mistral-nemo,param_count_rank,0.091819896357243,-0.0016119787013417347,0.20083389342493807,0.045785630992291514,-0.003980769461220654,0.0975851310103007,0.0715,undecided,0.26549999999999996,False
qwen25,role,ollama-qwen25-3b,ollama-qwen25-7b,param_count_rank,0.12283677766747245,0.01849439633612951,0.2284177988651924,0.06119777447758685,0.00965647838023874,0.11448950344798209,0.019,undecided,0.1235,False
claude,trait,anthropic-haiku45,anthropic-sonnet46,alphabetical (no param-count data),0.23108434532674005,-0.37446586922307623,0.8458266191434005,0.07162072857576401,-0.1262358370631095,0.2594880526288413,0.4665,undecided,0.6497678571428571,False
gemma,trait,ollama-gemma2-2b,ollama-gemma3-12b,param_count_rank,0.5286572321294595,-0.019568057946588224,1.0713101631145154,0.23261429571296488,-0.001354193952686062,0.48114858213535977,0.053,undecided,0.22966666666666663,False
gemma,trait,ollama-gemma2-2b,ollama-gemma3-27b,param_count_rank,0.273483407594104,-0.20253107333656928,0.7857593447794524,0.12678782748685258,-0.0975351197419286,0.3638148086319282,0.254,undecided,0.39375000000000004,False
gemma,trait,ollama-gemma3-12b,ollama-gemma3-27b,param_count_rank,-0.2551738245353554,-0.7048141809407104,0.18466070311962224,-0.10582646822611233,-0.2880050843814713,0.0836091513361421,0.2625,undecided,0.39375000000000004,False
gpt,trait,openai-gpt41,openai-gpt4o,alphabetical (no param-count data),0.36784588566603904,-0.26541661935267924,0.9724972656332351,0.16977524956298634,-0.12278291877898921,0.44976662087679803,0.2505,undecided,0.39375000000000004,False
llama3,trait,ollama-llama31-8b,ollama-llama3-70b,param_count_rank,-0.0721358455052058,-0.6360550036420837,0.48223057706109335,-0.03369233627279178,-0.2925323845354545,0.22503269341231114,0.803,undecided,0.9308382352941176,False
llama3,trait,ollama-llama32-1b,ollama-llama3-70b,param_count_rank,-0.24708252114513735,-1.1440296434898038,0.7761247946687492,-0.10199566323756437,-0.4868837855860023,0.3415012268662221,0.5945,undecided,0.77285,False
llama3,trait,ollama-llama32-1b,ollama-llama31-8b,param_count_rank,-0.17494667563993158,-1.1176106119132136,0.7752143115443861,-0.06830332696477259,-0.44464191262148917,0.3805988261439448,0.698,undecided,0.8781290322580645,False
llama3,trait,ollama-llama32-1b,ollama-llama32-3b,param_count_rank,0.25551230626386157,-0.7038526786049268,1.2758442605428693,0.1149719887830967,-0.25530296732793817,0.5768162617013736,0.5875,undecided,0.77285,False
llama3,trait,ollama-llama32-3b,ollama-llama3-70b,param_count_rank,-0.5025948274089989,-1.131987675662511,0.11745218246116756,-0.21696765202066107,-0.4878563253431355,0.04975397258460943,0.108,undecided,0.28396875,False
llama3,trait,ollama-llama32-3b,ollama-llama31-8b,param_count_rank,-0.4304589819037931,-1.0599184185436599,0.16782719849605232,-0.1832753157478693,-0.44470141883479763,0.07319817263122243,0.1745,undecided,0.3315,False
mistral,trait,ollama-mistral-7b,ollama-mistral-nemo,param_count_rank,-0.021954243597287666,-0.7484320896809484,0.7164047146159886,-0.007866194113823688,-0.34287277196049903,0.33768367885389283,0.953,undecided,0.99,False
qwen25,trait,ollama-qwen25-3b,ollama-qwen25-7b,param_count_rank,-0.03314662336616049,-0.9207880777049873,0.7928037085574215,-0.013164465036021674,-0.4071357446071677,0.3886553403646958,0.9365,undecided,0.99,False
