model_key,country,narrator_role,recipient_gender_condition,axis,Y_F,Y_M,T,n_stories,narrator_gender,model_family_version_group,model_size_rank,exposure_E,low_confidence
ollama-qwen25-3b,United States,Father,male,domain,2,0,82,1,male,qwen25,1.0,24.390243902439025,True
ollama-qwen25-3b,United States,Father,male,trait,0,0,82,1,male,qwen25,1.0,0.0,True
ollama-gemma2-2b,United States,Father,male,role,11,8,71,1,male,gemma,1.0,267.6056338028169,True
ollama-gemma2-2b,United States,Father,male,domain,0,0,71,1,male,gemma,1.0,0.0,True
ollama-gemma2-2b,United States,Father,male,trait,0,0,71,1,male,gemma,1.0,0.0,True
ollama-gemma3-12b,United States,Father,male,role,5,15,113,1,male,gemma,2.0,176.99115044247787,True
ollama-gemma3-12b,United States,Father,male,domain,3,0,113,1,male,gemma,2.0,26.548672566371682,True
ollama-gemma3-12b,United States,Father,male,trait,0,0,113,1,male,gemma,2.0,0.0,True
ollama-gemma3-27b,United States,Father,male,role,8,13,101,1,male,gemma,3.0,207.92079207920793,True
ollama-gemma3-27b,United States,Father,male,domain,1,0,101,1,male,gemma,3.0,9.900990099009901,True
ollama-gemma3-27b,United States,Father,male,trait,0,0,101,1,male,gemma,3.0,0.0,True
ollama-gptoss-20b,United States,Father,male,role,5,12,97,1,male,gptoss,1.0,175.2577319587629,True
ollama-gptoss-20b,United States,Father,male,domain,1,1,97,1,male,gptoss,1.0,20.61855670103093,True
ollama-gptoss-20b,United States,Father,male,trait,0,0,97,1,male,gptoss,1.0,0.0,True
ollama-llama31-8b,Canada,Father,female,role,14,10,107,1,male,llama3,3.0,224.29906542056074,True
ollama-llama31-8b,Canada,Father,female,domain,1,0,107,1,male,llama3,3.0,9.345794392523365,True
ollama-llama31-8b,Canada,Father,female,trait,0,0,107,1,male,llama3,3.0,0.0,True
ollama-llama32-1b,Canada,Father,female,role,5,2,19,1,male,llama3,1.0,368.42105263157896,True
ollama-llama32-1b,Canada,Father,female,domain,1,1,19,1,male,llama3,1.0,105.26315789473684,True
ollama-llama32-1b,Canada,Father,female,trait,0,0,19,1,male,llama3,1.0,0.0,True
ollama-llama32-3b,Canada,Father,female,role,27,10,108,1,male,llama3,2.0,342.5925925925926,True
ollama-llama32-3b,Canada,Father,female,domain,1,0,108,1,male,llama3,2.0,9.25925925925926,True
ollama-llama32-3b,Canada,Father,female,trait,0,0,108,1,male,llama3,2.0,0.0,True
ollama-llama3-70b,Canada,Father,female,role,26,8,103,1,male,llama3,4.0,330.09708737864077,True
ollama-llama3-70b,Canada,Father,female,domain,1,0,103,1,male,llama3,4.0,9.70873786407767,True
ollama-llama3-70b,Canada,Father,female,trait,1,0,103,1,male,llama3,4.0,9.70873786407767,True
ollama-mistral-nemo,Canada,Father,female,role,5,4,64,1,male,mistral,2.0,140.625,True
ollama-mistral-nemo,Canada,Father,female,domain,0,0,64,1,male,mistral,2.0,0.0,True
ollama-mistral-nemo,Canada,Father,female,trait,0,0,64,1,male,mistral,2.0,0.0,True
ollama-mistral-7b,Canada,Father,female,role,6,10,102,1,male,mistral,1.0,156.86274509803923,True
ollama-mistral-7b,Canada,Father,female,domain,1,0,102,1,male,mistral,1.0,9.803921568627452,True
ollama-mistral-7b,Canada,Father,female,trait,0,0,102,1,male,mistral,1.0,0.0,True
ollama-qwen25-7b,Canada,Father,female,role,15,11,84,1,male,qwen25,2.0,309.5238095238095,True
ollama-qwen25-7b,Canada,Father,female,domain,4,0,84,1,male,qwen25,2.0,47.61904761904762,True
ollama-qwen25-7b,Canada,Father,female,trait,1,0,84,1,male,qwen25,2.0,11.904761904761905,True
ollama-qwen25-3b,Canada,Father,female,role,7,8,83,1,male,qwen25,1.0,180.72289156626505,True
ollama-qwen25-3b,Canada,Father,female,domain,2,0,83,1,male,qwen25,1.0,24.096385542168676,True
ollama-qwen25-3b,Canada,Father,female,trait,0,0,83,1,male,qwen25,1.0,0.0,True
ollama-gemma2-2b,Canada,Father,female,role,8,16,115,1,male,gemma,1.0,208.69565217391303,True
ollama-gemma2-2b,Canada,Father,female,domain,0,0,115,1,male,gemma,1.0,0.0,True
ollama-gemma2-2b,Canada,Father,female,trait,1,0,115,1,male,gemma,1.0,8.695652173913043,True
ollama-gemma3-12b,Canada,Father,female,role,8,8,119,1,male,gemma,2.0,134.45378151260505,True
ollama-gemma3-12b,Canada,Father,female,domain,1,1,119,1,male,gemma,2.0,16.80672268907563,True
ollama-gemma3-12b,Canada,Father,female,trait,2,0,119,1,male,gemma,2.0,16.80672268907563,True
ollama-gemma3-27b,Canada,Father,female,role,11,4,95,1,male,gemma,3.0,157.89473684210526,True
ollama-gemma3-27b,Canada,Father,female,domain,2,0,95,1,male,gemma,3.0,21.05263157894737,True
ollama-gemma3-27b,Canada,Father,female,trait,1,0,95,1,male,gemma,3.0,10.526315789473685,True
ollama-gptoss-20b,Canada,Father,female,role,11,9,92,1,male,gptoss,1.0,217.3913043478261,True
ollama-gptoss-20b,Canada,Father,female,domain,4,0,92,1,male,gptoss,1.0,43.47826086956522,True
ollama-gptoss-20b,Canada,Father,female,trait,0,0,92,1,male,gptoss,1.0,0.0,True
ollama-llama31-8b,Canada,Father,male,role,11,6,81,1,male,llama3,3.0,209.87654320987653,True
ollama-llama31-8b,Canada,Father,male,domain,3,0,81,1,male,llama3,3.0,37.03703703703704,True
ollama-llama31-8b,Canada,Father,male,trait,0,0,81,1,male,llama3,3.0,0.0,True
ollama-llama32-1b,Canada,Father,male,role,1,0,14,1,male,llama3,1.0,71.42857142857143,True
ollama-llama32-1b,Canada,Father,male,domain,0,0,14,1,male,llama3,1.0,0.0,True
ollama-llama32-1b,Canada,Father,male,trait,0,0,14,1,male,llama3,1.0,0.0,True
ollama-llama32-3b,Canada,Father,male,role,15,14,92,1,male,llama3,2.0,315.2173913043478,True
ollama-llama32-3b,Canada,Father,male,domain,1,0,92,1,male,llama3,2.0,10.869565217391305,True
ollama-llama32-3b,Canada,Father,male,trait,0,1,92,1,male,llama3,2.0,10.869565217391305,True
ollama-llama3-70b,Canada,Father,male,role,16,10,98,1,male,llama3,4.0,265.3061224489796,True
ollama-llama3-70b,Canada,Father,male,domain,0,0,98,1,male,llama3,4.0,0.0,True
ollama-llama3-70b,Canada,Father,male,trait,0,0,98,1,male,llama3,4.0,0.0,True
ollama-mistral-nemo,Canada,Father,male,role,3,13,122,1,male,mistral,2.0,131.14754098360655,True
ollama-mistral-nemo,Canada,Father,male,domain,0,0,122,1,male,mistral,2.0,0.0,True
ollama-mistral-nemo,Canada,Father,male,trait,0,1,122,1,male,mistral,2.0,8.19672131147541,True
ollama-mistral-7b,Canada,Father,male,role,12,8,115,1,male,mistral,1.0,173.91304347826087,True
ollama-mistral-7b,Canada,Father,male,domain,0,1,115,1,male,mistral,1.0,8.695652173913043,True
ollama-mistral-7b,Canada,Father,male,trait,0,0,115,1,male,mistral,1.0,0.0,True
ollama-qwen25-7b,Canada,Father,male,role,13,7,97,1,male,qwen25,2.0,206.18556701030928,True
ollama-qwen25-7b,Canada,Father,male,domain,1,0,97,1,male,qwen25,2.0,10.309278350515465,True
ollama-qwen25-7b,Canada,Father,male,trait,0,0,97,1,male,qwen25,2.0,0.0,True
ollama-qwen25-3b,Canada,Father,male,role,19,7,87,1,male,qwen25,1.0,298.85057471264366,True
ollama-qwen25-3b,Canada,Father,male,domain,1,2,87,1,male,qwen25,1.0,34.48275862068966,True
ollama-qwen25-3b,Canada,Father,male,trait,0,0,87,1,male,qwen25,1.0,0.0,True
ollama-gemma2-2b,Canada,Father,male,role,2,16,105,1,male,gemma,1.0,171.42857142857142,True
ollama-gemma2-2b,Canada,Father,male,domain,0,0,105,1,male,gemma,1.0,0.0,True
ollama-gemma2-2b,Canada,Father,male,trait,0,0,105,1,male,gemma,1.0,0.0,True
ollama-gemma3-12b,Canada,Father,male,role,8,16,111,1,male,gemma,2.0,216.21621621621622,True
ollama-gemma3-12b,Canada,Father,male,domain,1,0,111,1,male,gemma,2.0,9.00900900900901,True
ollama-gemma3-12b,Canada,Father,male,trait,0,0,111,1,male,gemma,2.0,0.0,True
ollama-gemma3-27b,Canada,Father,male,role,7,7,95,1,male,gemma,3.0,147.3684210526316,True
ollama-gemma3-27b,Canada,Father,male,domain,1,0,95,1,male,gemma,3.0,10.526315789473685,True
ollama-gemma3-27b,Canada,Father,male,trait,1,0,95,1,male,gemma,3.0,10.526315789473685,True
ollama-gptoss-20b,Canada,Father,male,role,9,4,85,1,male,gptoss,1.0,152.94117647058823,True
ollama-gptoss-20b,Canada,Father,male,domain,3,0,85,1,male,gptoss,1.0,35.294117647058826,True
ollama-gptoss-20b,Canada,Father,male,trait,0,0,85,1,male,gptoss,1.0,0.0,True
ollama-llama31-8b,Mexico,Father,female,role,23,5,88,1,male,llama3,3.0,318.1818181818182,True
ollama-llama31-8b,Mexico,Father,female,domain,0,0,88,1,male,llama3,3.0,0.0,True
ollama-llama31-8b,Mexico,Father,female,trait,0,0,88,1,male,llama3,3.0,0.0,True
ollama-llama32-1b,Mexico,Father,female,role,0,0,12,1,male,llama3,1.0,0.0,True
ollama-llama32-1b,Mexico,Father,female,domain,0,0,12,1,male,llama3,1.0,0.0,True
ollama-llama32-1b,Mexico,Father,female,trait,0,0,12,1,male,llama3,1.0,0.0,True
ollama-llama32-3b,Mexico,Father,female,role,10,14,98,1,male,llama3,2.0,244.89795918367346,True
ollama-llama32-3b,Mexico,Father,female,domain,2,0,98,1,male,llama3,2.0,20.408163265306122,True
ollama-llama32-3b,Mexico,Father,female,trait,0,0,98,1,male,llama3,2.0,0.0,True
ollama-llama3-70b,Mexico,Father,female,role,26,11,90,1,male,llama3,4.0,411.1111111111111,True
ollama-llama3-70b,Mexico,Father,female,domain,0,0,90,1,male,llama3,4.0,0.0,True
ollama-llama3-70b,Mexico,Father,female,trait,0,0,90,1,male,llama3,4.0,0.0,True
ollama-mistral-nemo,Mexico,Father,female,role,5,7,114,1,male,mistral,2.0,105.26315789473684,True
ollama-mistral-nemo,Mexico,Father,female,domain,0,0,114,1,male,mistral,2.0,0.0,True
ollama-mistral-nemo,Mexico,Father,female,trait,0,0,114,1,male,mistral,2.0,0.0,True
ollama-mistral-7b,Mexico,Father,female,role,10,11,106,1,male,mistral,1.0,198.11320754716982,True
ollama-mistral-7b,Mexico,Father,female,domain,2,0,106,1,male,mistral,1.0,18.867924528301888,True
ollama-mistral-7b,Mexico,Father,female,trait,0,0,106,1,male,mistral,1.0,0.0,True
ollama-qwen25-7b,Mexico,Father,female,role,24,6,99,1,male,qwen25,2.0,303.030303030303,True
ollama-qwen25-7b,Mexico,Father,female,domain,6,0,99,1,male,qwen25,2.0,60.60606060606061,True
ollama-qwen25-7b,Mexico,Father,female,trait,0,0,99,1,male,qwen25,2.0,0.0,True
ollama-qwen25-3b,Mexico,Father,female,role,21,0,46,1,male,qwen25,1.0,456.5217391304348,True
ollama-qwen25-3b,Mexico,Father,female,domain,2,0,46,1,male,qwen25,1.0,43.47826086956522,True
ollama-qwen25-3b,Mexico,Father,female,trait,0,0,46,1,male,qwen25,1.0,0.0,True
ollama-gemma2-2b,Mexico,Father,female,role,13,5,109,1,male,gemma,1.0,165.13761467889907,True
ollama-gemma2-2b,Mexico,Father,female,domain,0,0,109,1,male,gemma,1.0,0.0,True
ollama-gemma2-2b,Mexico,Father,female,trait,2,1,109,1,male,gemma,1.0,27.522935779816514,True
ollama-gemma3-12b,Mexico,Father,female,role,5,15,115,1,male,gemma,2.0,173.91304347826087,True
ollama-gemma3-12b,Mexico,Father,female,domain,0,1,115,1,male,gemma,2.0,8.695652173913043,True
ollama-gemma3-12b,Mexico,Father,female,trait,1,1,115,1,male,gemma,2.0,17.391304347826086,True
ollama-gemma3-27b,Mexico,Father,female,role,9,12,82,1,male,gemma,3.0,256.0975609756098,True
ollama-gemma3-27b,Mexico,Father,female,domain,0,1,82,1,male,gemma,3.0,12.195121951219512,True
ollama-gemma3-27b,Mexico,Father,female,trait,1,0,82,1,male,gemma,3.0,12.195121951219512,True
ollama-llama31-8b,Mexico,Father,male,role,14,8,85,1,male,llama3,3.0,258.8235294117647,True
ollama-llama31-8b,Mexico,Father,male,domain,1,1,85,1,male,llama3,3.0,23.529411764705884,True
ollama-llama31-8b,Mexico,Father,male,trait,0,1,85,1,male,llama3,3.0,11.764705882352942,True
ollama-llama32-1b,Mexico,Father,male,role,1,0,15,1,male,llama3,1.0,66.66666666666667,True
ollama-llama32-1b,Mexico,Father,male,domain,0,0,15,1,male,llama3,1.0,0.0,True
ollama-llama32-1b,Mexico,Father,male,trait,0,0,15,1,male,llama3,1.0,0.0,True
ollama-llama32-3b,Mexico,Father,male,role,8,14,91,1,male,llama3,2.0,241.75824175824175,True
ollama-llama32-3b,Mexico,Father,male,domain,0,0,91,1,male,llama3,2.0,0.0,True
ollama-llama32-3b,Mexico,Father,male,trait,0,1,91,1,male,llama3,2.0,10.989010989010989,True
ollama-llama3-70b,Mexico,Father,male,role,17,10,93,1,male,llama3,4.0,290.3225806451613,True
ollama-llama3-70b,Mexico,Father,male,domain,0,0,93,1,male,llama3,4.0,0.0,True
ollama-llama3-70b,Mexico,Father,male,trait,1,0,93,1,male,llama3,4.0,10.75268817204301,True
ollama-mistral-nemo,Mexico,Father,male,role,5,12,109,1,male,mistral,2.0,155.96330275229357,True
ollama-mistral-nemo,Mexico,Father,male,domain,1,0,109,1,male,mistral,2.0,9.174311926605505,True
ollama-mistral-nemo,Mexico,Father,male,trait,0,0,109,1,male,mistral,2.0,0.0,True
ollama-mistral-7b,Mexico,Father,male,role,8,17,112,1,male,mistral,1.0,223.21428571428572,True
ollama-mistral-7b,Mexico,Father,male,domain,0,0,112,1,male,mistral,1.0,0.0,True
ollama-mistral-7b,Mexico,Father,male,trait,0,0,112,1,male,mistral,1.0,0.0,True
ollama-qwen25-7b,Mexico,Father,male,role,9,12,75,1,male,qwen25,2.0,280.0,True
ollama-qwen25-7b,Mexico,Father,male,domain,1,1,75,1,male,qwen25,2.0,26.666666666666668,True
ollama-qwen25-7b,Mexico,Father,male,trait,0,0,75,1,male,qwen25,2.0,0.0,True
ollama-qwen25-3b,Mexico,Father,male,role,10,5,71,1,male,qwen25,1.0,211.26760563380282,True
ollama-qwen25-3b,Mexico,Father,male,domain,5,0,71,1,male,qwen25,1.0,70.4225352112676,True
ollama-qwen25-3b,Mexico,Father,male,trait,0,1,71,1,male,qwen25,1.0,14.084507042253522,True
ollama-gemma2-2b,Mexico,Father,male,role,10,11,108,1,male,gemma,1.0,194.44444444444446,True
ollama-gemma2-2b,Mexico,Father,male,domain,1,0,108,1,male,gemma,1.0,9.25925925925926,True
ollama-gemma2-2b,Mexico,Father,male,trait,1,0,108,1,male,gemma,1.0,9.25925925925926,True
ollama-gemma3-12b,Mexico,Father,male,role,10,3,119,1,male,gemma,2.0,109.24369747899159,True
ollama-gemma3-12b,Mexico,Father,male,domain,0,0,119,1,male,gemma,2.0,0.0,True
ollama-gemma3-12b,Mexico,Father,male,trait,1,0,119,1,male,gemma,2.0,8.403361344537815,True
ollama-gemma3-27b,Mexico,Father,male,role,9,10,102,1,male,gemma,3.0,186.27450980392157,True
ollama-gemma3-27b,Mexico,Father,male,domain,0,0,102,1,male,gemma,3.0,0.0,True
ollama-gemma3-27b,Mexico,Father,male,trait,0,0,102,1,male,gemma,3.0,0.0,True
ollama-gptoss-20b,Mexico,Father,male,role,8,4,75,1,male,gptoss,1.0,160.0,True
ollama-gptoss-20b,Mexico,Father,male,domain,3,0,75,1,male,gptoss,1.0,40.0,True
ollama-gptoss-20b,Mexico,Father,male,trait,0,0,75,1,male,gptoss,1.0,0.0,True
ollama-llama31-8b,Brazil,Father,female,role,13,6,82,1,male,llama3,3.0,231.70731707317074,True
ollama-llama31-8b,Brazil,Father,female,domain,1,0,82,1,male,llama3,3.0,12.195121951219512,True
ollama-llama31-8b,Brazil,Father,female,trait,0,0,82,1,male,llama3,3.0,0.0,True
ollama-llama32-1b,Brazil,Father,female,role,2,2,14,1,male,llama3,1.0,285.7142857142857,True
ollama-llama32-1b,Brazil,Father,female,domain,0,0,14,1,male,llama3,1.0,0.0,True
ollama-llama32-1b,Brazil,Father,female,trait,0,0,14,1,male,llama3,1.0,0.0,True
ollama-llama32-3b,Brazil,Father,female,role,9,7,93,1,male,llama3,2.0,172.04301075268816,True
ollama-llama32-3b,Brazil,Father,female,domain,0,0,93,1,male,llama3,2.0,0.0,True
ollama-llama32-3b,Brazil,Father,female,trait,0,0,93,1,male,llama3,2.0,0.0,True
ollama-llama3-70b,Brazil,Father,female,role,18,7,108,1,male,llama3,4.0,231.4814814814815,True
ollama-llama3-70b,Brazil,Father,female,domain,3,0,108,1,male,llama3,4.0,27.77777777777778,True
ollama-llama3-70b,Brazil,Father,female,trait,0,0,108,1,male,llama3,4.0,0.0,True
ollama-mistral-nemo,Brazil,Father,female,role,6,15,136,1,male,mistral,2.0,154.41176470588235,True
ollama-mistral-nemo,Brazil,Father,female,domain,4,0,136,1,male,mistral,2.0,29.41176470588235,True
ollama-mistral-nemo,Brazil,Father,female,trait,0,0,136,1,male,mistral,2.0,0.0,True
ollama-mistral-7b,Brazil,Father,female,role,17,7,100,1,male,mistral,1.0,240.0,True
ollama-mistral-7b,Brazil,Father,female,domain,4,1,100,1,male,mistral,1.0,50.0,True
ollama-mistral-7b,Brazil,Father,female,trait,0,0,100,1,male,mistral,1.0,0.0,True
ollama-qwen25-7b,Brazil,Father,female,role,14,7,93,1,male,qwen25,2.0,225.80645161290323,True
ollama-qwen25-7b,Brazil,Father,female,domain,1,0,93,1,male,qwen25,2.0,10.75268817204301,True
ollama-qwen25-7b,Brazil,Father,female,trait,0,0,93,1,male,qwen25,2.0,0.0,True
ollama-qwen25-3b,Brazil,Father,female,role,11,11,104,1,male,qwen25,1.0,211.53846153846155,True
ollama-qwen25-3b,Brazil,Father,female,domain,2,0,104,1,male,qwen25,1.0,19.23076923076923,True
ollama-qwen25-3b,Brazil,Father,female,trait,0,0,104,1,male,qwen25,1.0,0.0,True
ollama-gemma2-2b,Brazil,Father,female,role,5,8,93,1,male,gemma,1.0,139.78494623655914,True
ollama-gemma2-2b,Brazil,Father,female,domain,0,0,93,1,male,gemma,1.0,0.0,True
ollama-gemma2-2b,Brazil,Father,female,trait,0,0,93,1,male,gemma,1.0,0.0,True
ollama-gemma3-12b,Brazil,Father,female,role,12,9,108,1,male,gemma,2.0,194.44444444444446,True
ollama-gemma3-12b,Brazil,Father,female,domain,2,0,108,1,male,gemma,2.0,18.51851851851852,True
ollama-gemma3-12b,Brazil,Father,female,trait,2,0,108,1,male,gemma,2.0,18.51851851851852,True
ollama-gemma3-27b,Brazil,Father,female,role,5,4,77,1,male,gemma,3.0,116.88311688311688,True
ollama-gemma3-27b,Brazil,Father,female,domain,0,0,77,1,male,gemma,3.0,0.0,True
ollama-gemma3-27b,Brazil,Father,female,trait,0,0,77,1,male,gemma,3.0,0.0,True
ollama-gptoss-20b,Brazil,Father,female,role,11,0,78,1,male,gptoss,1.0,141.02564102564102,True
ollama-gptoss-20b,Brazil,Father,female,domain,1,0,78,1,male,gptoss,1.0,12.820512820512821,True
ollama-gptoss-20b,Brazil,Father,female,trait,0,0,78,1,male,gptoss,1.0,0.0,True
ollama-llama31-8b,Brazil,Father,male,role,12,4,99,1,male,llama3,3.0,161.6161616161616,True
ollama-llama31-8b,Brazil,Father,male,domain,2,0,99,1,male,llama3,3.0,20.2020202020202,True
ollama-llama31-8b,Brazil,Father,male,trait,0,0,99,1,male,llama3,3.0,0.0,True
ollama-llama32-1b,Brazil,Father,male,role,1,0,12,1,male,llama3,1.0,83.33333333333333,True
ollama-llama32-1b,Brazil,Father,male,domain,0,0,12,1,male,llama3,1.0,0.0,True
ollama-llama32-1b,Brazil,Father,male,trait,0,0,12,1,male,llama3,1.0,0.0,True
ollama-llama32-3b,Brazil,Father,male,role,17,5,106,1,male,llama3,2.0,207.54716981132074,True
ollama-llama32-3b,Brazil,Father,male,domain,0,0,106,1,male,llama3,2.0,0.0,True
ollama-llama32-3b,Brazil,Father,male,trait,0,0,106,1,male,llama3,2.0,0.0,True
ollama-llama3-70b,Brazil,Father,male,role,13,12,93,1,male,llama3,4.0,268.81720430107526,True
ollama-llama3-70b,Brazil,Father,male,domain,1,0,93,1,male,llama3,4.0,10.75268817204301,True
ollama-llama3-70b,Brazil,Father,male,trait,0,0,93,1,male,llama3,4.0,0.0,True
ollama-mistral-nemo,Brazil,Father,male,role,11,8,107,1,male,mistral,2.0,177.57009345794393,True
ollama-mistral-nemo,Brazil,Father,male,domain,2,0,107,1,male,mistral,2.0,18.69158878504673,True
ollama-mistral-nemo,Brazil,Father,male,trait,1,0,107,1,male,mistral,2.0,9.345794392523365,True
ollama-mistral-7b,Brazil,Father,male,role,15,7,104,1,male,mistral,1.0,211.53846153846155,True
ollama-mistral-7b,Brazil,Father,male,domain,1,0,104,1,male,mistral,1.0,9.615384615384615,True
ollama-mistral-7b,Brazil,Father,male,trait,0,0,104,1,male,mistral,1.0,0.0,True
ollama-qwen25-7b,Brazil,Father,male,role,12,7,105,1,male,qwen25,2.0,180.95238095238096,True
ollama-qwen25-7b,Brazil,Father,male,domain,0,0,105,1,male,qwen25,2.0,0.0,True
ollama-qwen25-7b,Brazil,Father,male,trait,0,0,105,1,male,qwen25,2.0,0.0,True
ollama-qwen25-3b,Brazil,Father,male,role,7,2,50,1,male,qwen25,1.0,180.0,True
ollama-qwen25-3b,Brazil,Father,male,domain,1,0,50,1,male,qwen25,1.0,20.0,True
ollama-qwen25-3b,Brazil,Father,male,trait,0,0,50,1,male,qwen25,1.0,0.0,True
ollama-gemma2-2b,Brazil,Father,male,role,11,4,93,1,male,gemma,1.0,161.29032258064515,True
ollama-gemma2-2b,Brazil,Father,male,domain,2,0,93,1,male,gemma,1.0,21.50537634408602,True
ollama-gemma2-2b,Brazil,Father,male,trait,1,0,93,1,male,gemma,1.0,10.75268817204301,True
ollama-gemma3-12b,Brazil,Father,male,role,7,13,106,1,male,gemma,2.0,188.67924528301887,True
ollama-gemma3-12b,Brazil,Father,male,domain,0,0,106,1,male,gemma,2.0,0.0,True
