id,axis,Y_F,Y_M,T,country,narrator_role,narrator_gender,recipient_gender_condition,recipient_gender_label,model_key,model_family_version_group,H_exposure
ollama-gemma2-2b_Father_UnitedStates_female,trait,1,0,111,United States,Father,male,female,daughter,ollama-gemma2-2b,gemma,1
ollama-gemma3-12b_Father_UnitedStates_female,role,8,17,112,United States,Father,male,female,daughter,ollama-gemma3-12b,gemma,25
ollama-gemma3-12b_Father_UnitedStates_female,domain,1,0,112,United States,Father,male,female,daughter,ollama-gemma3-12b,gemma,1
ollama-gemma3-12b_Father_UnitedStates_female,trait,1,0,112,United States,Father,male,female,daughter,ollama-gemma3-12b,gemma,1
ollama-gemma3-27b_Father_UnitedStates_female,role,7,8,97,United States,Father,male,female,daughter,ollama-gemma3-27b,gemma,15
ollama-gemma3-27b_Father_UnitedStates_female,domain,0,0,97,United States,Father,male,female,daughter,ollama-gemma3-27b,gemma,0
ollama-gemma3-27b_Father_UnitedStates_female,trait,2,1,97,United States,Father,male,female,daughter,ollama-gemma3-27b,gemma,3
ollama-gptoss-20b_Father_UnitedStates_female,role,8,5,88,United States,Father,male,female,daughter,ollama-gptoss-20b,gptoss,13
ollama-gptoss-20b_Father_UnitedStates_female,domain,1,1,88,United States,Father,male,female,daughter,ollama-gptoss-20b,gptoss,2
ollama-gptoss-20b_Father_UnitedStates_female,trait,0,2,88,United States,Father,male,female,daughter,ollama-gptoss-20b,gptoss,2
ollama-llama31-8b_Father_UnitedStates_male,role,8,9,87,United States,Father,male,male,son,ollama-llama31-8b,llama3,17
ollama-llama31-8b_Father_UnitedStates_male,domain,2,0,87,United States,Father,male,male,son,ollama-llama31-8b,llama3,2
ollama-llama31-8b_Father_UnitedStates_male,trait,0,2,87,United States,Father,male,male,son,ollama-llama31-8b,llama3,2
ollama-llama32-3b_Father_UnitedStates_male,role,12,4,89,United States,Father,male,male,son,ollama-llama32-3b,llama3,16
ollama-llama32-3b_Father_UnitedStates_male,domain,1,0,89,United States,Father,male,male,son,ollama-llama32-3b,llama3,1
ollama-llama32-3b_Father_UnitedStates_male,trait,0,0,89,United States,Father,male,male,son,ollama-llama32-3b,llama3,0
ollama-llama3-70b_Father_UnitedStates_male,role,15,10,96,United States,Father,male,male,son,ollama-llama3-70b,llama3,25
ollama-llama3-70b_Father_UnitedStates_male,domain,1,0,96,United States,Father,male,male,son,ollama-llama3-70b,llama3,1
ollama-llama3-70b_Father_UnitedStates_male,trait,0,0,96,United States,Father,male,male,son,ollama-llama3-70b,llama3,0
ollama-mistral-nemo_Father_UnitedStates_male,role,7,13,121,United States,Father,male,male,son,ollama-mistral-nemo,mistral,20
ollama-mistral-nemo_Father_UnitedStates_male,domain,2,0,121,United States,Father,male,male,son,ollama-mistral-nemo,mistral,2
ollama-mistral-nemo_Father_UnitedStates_male,trait,0,0,121,United States,Father,male,male,son,ollama-mistral-nemo,mistral,0
ollama-mistral-7b_Father_UnitedStates_male,role,9,10,97,United States,Father,male,male,son,ollama-mistral-7b,mistral,19
ollama-mistral-7b_Father_UnitedStates_male,domain,1,1,97,United States,Father,male,male,son,ollama-mistral-7b,mistral,2
ollama-mistral-7b_Father_UnitedStates_male,trait,0,0,97,United States,Father,male,male,son,ollama-mistral-7b,mistral,0
ollama-qwen25-7b_Father_UnitedStates_male,role,21,11,77,United States,Father,male,male,son,ollama-qwen25-7b,qwen25,32
ollama-qwen25-7b_Father_UnitedStates_male,domain,4,0,77,United States,Father,male,male,son,ollama-qwen25-7b,qwen25,4
ollama-qwen25-7b_Father_UnitedStates_male,trait,0,0,77,United States,Father,male,male,son,ollama-qwen25-7b,qwen25,0
ollama-qwen25-3b_Father_UnitedStates_male,role,13,5,82,United States,Father,male,male,son,ollama-qwen25-3b,qwen25,18
ollama-qwen25-3b_Father_UnitedStates_male,domain,2,0,82,United States,Father,male,male,son,ollama-qwen25-3b,qwen25,2
ollama-qwen25-3b_Father_UnitedStates_male,trait,0,0,82,United States,Father,male,male,son,ollama-qwen25-3b,qwen25,0
ollama-gemma2-2b_Father_UnitedStates_male,role,11,8,71,United States,Father,male,male,son,ollama-gemma2-2b,gemma,19
ollama-gemma2-2b_Father_UnitedStates_male,domain,0,0,71,United States,Father,male,male,son,ollama-gemma2-2b,gemma,0
ollama-gemma2-2b_Father_UnitedStates_male,trait,0,0,71,United States,Father,male,male,son,ollama-gemma2-2b,gemma,0
ollama-gemma3-12b_Father_UnitedStates_male,role,5,15,113,United States,Father,male,male,son,ollama-gemma3-12b,gemma,20
ollama-gemma3-12b_Father_UnitedStates_male,domain,3,0,113,United States,Father,male,male,son,ollama-gemma3-12b,gemma,3
ollama-gemma3-12b_Father_UnitedStates_male,trait,0,0,113,United States,Father,male,male,son,ollama-gemma3-12b,gemma,0
ollama-gemma3-27b_Father_UnitedStates_male,role,8,13,101,United States,Father,male,male,son,ollama-gemma3-27b,gemma,21
ollama-gemma3-27b_Father_UnitedStates_male,domain,1,0,101,United States,Father,male,male,son,ollama-gemma3-27b,gemma,1
ollama-gemma3-27b_Father_UnitedStates_male,trait,0,0,101,United States,Father,male,male,son,ollama-gemma3-27b,gemma,0
ollama-gptoss-20b_Father_UnitedStates_male,role,5,12,97,United States,Father,male,male,son,ollama-gptoss-20b,gptoss,17
ollama-gptoss-20b_Father_UnitedStates_male,domain,1,1,97,United States,Father,male,male,son,ollama-gptoss-20b,gptoss,2
ollama-gptoss-20b_Father_UnitedStates_male,trait,0,0,97,United States,Father,male,male,son,ollama-gptoss-20b,gptoss,0
ollama-llama31-8b_Father_Canada_female,role,14,10,107,Canada,Father,male,female,daughter,ollama-llama31-8b,llama3,24
ollama-llama31-8b_Father_Canada_female,domain,1,0,107,Canada,Father,male,female,daughter,ollama-llama31-8b,llama3,1
ollama-llama31-8b_Father_Canada_female,trait,0,0,107,Canada,Father,male,female,daughter,ollama-llama31-8b,llama3,0
ollama-llama32-1b_Father_Canada_female,role,5,2,19,Canada,Father,male,female,daughter,ollama-llama32-1b,llama3,7
ollama-llama32-1b_Father_Canada_female,domain,1,1,19,Canada,Father,male,female,daughter,ollama-llama32-1b,llama3,2
ollama-llama32-1b_Father_Canada_female,trait,0,0,19,Canada,Father,male,female,daughter,ollama-llama32-1b,llama3,0
ollama-llama32-3b_Father_Canada_female,role,27,10,108,Canada,Father,male,female,daughter,ollama-llama32-3b,llama3,37
ollama-llama32-3b_Father_Canada_female,domain,1,0,108,Canada,Father,male,female,daughter,ollama-llama32-3b,llama3,1
ollama-llama32-3b_Father_Canada_female,trait,0,0,108,Canada,Father,male,female,daughter,ollama-llama32-3b,llama3,0
ollama-llama3-70b_Father_Canada_female,role,26,8,103,Canada,Father,male,female,daughter,ollama-llama3-70b,llama3,34
ollama-llama3-70b_Father_Canada_female,domain,1,0,103,Canada,Father,male,female,daughter,ollama-llama3-70b,llama3,1
ollama-llama3-70b_Father_Canada_female,trait,1,0,103,Canada,Father,male,female,daughter,ollama-llama3-70b,llama3,1
ollama-mistral-nemo_Father_Canada_female,role,5,4,64,Canada,Father,male,female,daughter,ollama-mistral-nemo,mistral,9
ollama-mistral-nemo_Father_Canada_female,domain,0,0,64,Canada,Father,male,female,daughter,ollama-mistral-nemo,mistral,0
ollama-mistral-nemo_Father_Canada_female,trait,0,0,64,Canada,Father,male,female,daughter,ollama-mistral-nemo,mistral,0
ollama-mistral-7b_Father_Canada_female,role,6,10,102,Canada,Father,male,female,daughter,ollama-mistral-7b,mistral,16
ollama-mistral-7b_Father_Canada_female,domain,1,0,102,Canada,Father,male,female,daughter,ollama-mistral-7b,mistral,1
ollama-mistral-7b_Father_Canada_female,trait,0,0,102,Canada,Father,male,female,daughter,ollama-mistral-7b,mistral,0
ollama-qwen25-7b_Father_Canada_female,role,15,11,84,Canada,Father,male,female,daughter,ollama-qwen25-7b,qwen25,26
ollama-qwen25-7b_Father_Canada_female,domain,4,0,84,Canada,Father,male,female,daughter,ollama-qwen25-7b,qwen25,4
ollama-qwen25-7b_Father_Canada_female,trait,1,0,84,Canada,Father,male,female,daughter,ollama-qwen25-7b,qwen25,1
ollama-qwen25-3b_Father_Canada_female,role,7,8,83,Canada,Father,male,female,daughter,ollama-qwen25-3b,qwen25,15
ollama-qwen25-3b_Father_Canada_female,domain,2,0,83,Canada,Father,male,female,daughter,ollama-qwen25-3b,qwen25,2
ollama-qwen25-3b_Father_Canada_female,trait,0,0,83,Canada,Father,male,female,daughter,ollama-qwen25-3b,qwen25,0
ollama-gemma2-2b_Father_Canada_female,role,8,16,115,Canada,Father,male,female,daughter,ollama-gemma2-2b,gemma,24
ollama-gemma2-2b_Father_Canada_female,domain,0,0,115,Canada,Father,male,female,daughter,ollama-gemma2-2b,gemma,0
ollama-gemma2-2b_Father_Canada_female,trait,1,0,115,Canada,Father,male,female,daughter,ollama-gemma2-2b,gemma,1
ollama-gemma3-12b_Father_Canada_female,role,8,8,119,Canada,Father,male,female,daughter,ollama-gemma3-12b,gemma,16
ollama-gemma3-12b_Father_Canada_female,domain,1,1,119,Canada,Father,male,female,daughter,ollama-gemma3-12b,gemma,2
ollama-gemma3-12b_Father_Canada_female,trait,2,0,119,Canada,Father,male,female,daughter,ollama-gemma3-12b,gemma,2
ollama-gemma3-27b_Father_Canada_female,role,11,4,95,Canada,Father,male,female,daughter,ollama-gemma3-27b,gemma,15
ollama-gemma3-27b_Father_Canada_female,domain,2,0,95,Canada,Father,male,female,daughter,ollama-gemma3-27b,gemma,2
ollama-gemma3-27b_Father_Canada_female,trait,1,0,95,Canada,Father,male,female,daughter,ollama-gemma3-27b,gemma,1
ollama-gptoss-20b_Father_Canada_female,role,11,9,92,Canada,Father,male,female,daughter,ollama-gptoss-20b,gptoss,20
ollama-gptoss-20b_Father_Canada_female,domain,4,0,92,Canada,Father,male,female,daughter,ollama-gptoss-20b,gptoss,4
ollama-gptoss-20b_Father_Canada_female,trait,0,0,92,Canada,Father,male,female,daughter,ollama-gptoss-20b,gptoss,0
ollama-llama31-8b_Father_Canada_male,role,11,6,81,Canada,Father,male,male,son,ollama-llama31-8b,llama3,17
ollama-llama31-8b_Father_Canada_male,domain,3,0,81,Canada,Father,male,male,son,ollama-llama31-8b,llama3,3
ollama-llama31-8b_Father_Canada_male,trait,0,0,81,Canada,Father,male,male,son,ollama-llama31-8b,llama3,0
ollama-llama32-1b_Father_Canada_male,role,1,0,14,Canada,Father,male,male,son,ollama-llama32-1b,llama3,1
ollama-llama32-1b_Father_Canada_male,domain,0,0,14,Canada,Father,male,male,son,ollama-llama32-1b,llama3,0
ollama-llama32-1b_Father_Canada_male,trait,0,0,14,Canada,Father,male,male,son,ollama-llama32-1b,llama3,0
ollama-llama32-3b_Father_Canada_male,role,15,14,92,Canada,Father,male,male,son,ollama-llama32-3b,llama3,29
ollama-llama32-3b_Father_Canada_male,domain,1,0,92,Canada,Father,male,male,son,ollama-llama32-3b,llama3,1
ollama-llama32-3b_Father_Canada_male,trait,0,1,92,Canada,Father,male,male,son,ollama-llama32-3b,llama3,1
ollama-llama3-70b_Father_Canada_male,role,16,10,98,Canada,Father,male,male,son,ollama-llama3-70b,llama3,26
ollama-llama3-70b_Father_Canada_male,domain,0,0,98,Canada,Father,male,male,son,ollama-llama3-70b,llama3,0
ollama-llama3-70b_Father_Canada_male,trait,0,0,98,Canada,Father,male,male,son,ollama-llama3-70b,llama3,0
ollama-mistral-nemo_Father_Canada_male,role,3,13,122,Canada,Father,male,male,son,ollama-mistral-nemo,mistral,16
ollama-mistral-nemo_Father_Canada_male,domain,0,0,122,Canada,Father,male,male,son,ollama-mistral-nemo,mistral,0
ollama-mistral-nemo_Father_Canada_male,trait,0,1,122,Canada,Father,male,male,son,ollama-mistral-nemo,mistral,1
ollama-mistral-7b_Father_Canada_male,role,12,8,115,Canada,Father,male,male,son,ollama-mistral-7b,mistral,20
ollama-mistral-7b_Father_Canada_male,domain,0,1,115,Canada,Father,male,male,son,ollama-mistral-7b,mistral,1
ollama-mistral-7b_Father_Canada_male,trait,0,0,115,Canada,Father,male,male,son,ollama-mistral-7b,mistral,0
ollama-qwen25-7b_Father_Canada_male,role,13,7,97,Canada,Father,male,male,son,ollama-qwen25-7b,qwen25,20
ollama-qwen25-7b_Father_Canada_male,domain,1,0,97,Canada,Father,male,male,son,ollama-qwen25-7b,qwen25,1
ollama-qwen25-7b_Father_Canada_male,trait,0,0,97,Canada,Father,male,male,son,ollama-qwen25-7b,qwen25,0
ollama-qwen25-3b_Father_Canada_male,role,19,7,87,Canada,Father,male,male,son,ollama-qwen25-3b,qwen25,26
ollama-qwen25-3b_Father_Canada_male,domain,1,2,87,Canada,Father,male,male,son,ollama-qwen25-3b,qwen25,3
ollama-qwen25-3b_Father_Canada_male,trait,0,0,87,Canada,Father,male,male,son,ollama-qwen25-3b,qwen25,0
ollama-gemma2-2b_Father_Canada_male,role,2,16,105,Canada,Father,male,male,son,ollama-gemma2-2b,gemma,18
ollama-gemma2-2b_Father_Canada_male,domain,0,0,105,Canada,Father,male,male,son,ollama-gemma2-2b,gemma,0
ollama-gemma2-2b_Father_Canada_male,trait,0,0,105,Canada,Father,male,male,son,ollama-gemma2-2b,gemma,0
ollama-gemma3-12b_Father_Canada_male,role,8,16,111,Canada,Father,male,male,son,ollama-gemma3-12b,gemma,24
ollama-gemma3-12b_Father_Canada_male,domain,1,0,111,Canada,Father,male,male,son,ollama-gemma3-12b,gemma,1
ollama-gemma3-12b_Father_Canada_male,trait,0,0,111,Canada,Father,male,male,son,ollama-gemma3-12b,gemma,0
ollama-gemma3-27b_Father_Canada_male,role,7,7,95,Canada,Father,male,male,son,ollama-gemma3-27b,gemma,14
ollama-gemma3-27b_Father_Canada_male,domain,1,0,95,Canada,Father,male,male,son,ollama-gemma3-27b,gemma,1
ollama-gemma3-27b_Father_Canada_male,trait,1,0,95,Canada,Father,male,male,son,ollama-gemma3-27b,gemma,1
ollama-gptoss-20b_Father_Canada_male,role,9,4,85,Canada,Father,male,male,son,ollama-gptoss-20b,gptoss,13
ollama-gptoss-20b_Father_Canada_male,domain,3,0,85,Canada,Father,male,male,son,ollama-gptoss-20b,gptoss,3
ollama-gptoss-20b_Father_Canada_male,trait,0,0,85,Canada,Father,male,male,son,ollama-gptoss-20b,gptoss,0
ollama-llama31-8b_Father_Mexico_female,role,23,5,88,Mexico,Father,male,female,daughter,ollama-llama31-8b,llama3,28
ollama-llama31-8b_Father_Mexico_female,domain,0,0,88,Mexico,Father,male,female,daughter,ollama-llama31-8b,llama3,0
ollama-llama31-8b_Father_Mexico_female,trait,0,0,88,Mexico,Father,male,female,daughter,ollama-llama31-8b,llama3,0
ollama-llama32-1b_Father_Mexico_female,role,0,0,12,Mexico,Father,male,female,daughter,ollama-llama32-1b,llama3,0
ollama-llama32-1b_Father_Mexico_female,domain,0,0,12,Mexico,Father,male,female,daughter,ollama-llama32-1b,llama3,0
ollama-llama32-1b_Father_Mexico_female,trait,0,0,12,Mexico,Father,male,female,daughter,ollama-llama32-1b,llama3,0
ollama-llama32-3b_Father_Mexico_female,role,10,14,98,Mexico,Father,male,female,daughter,ollama-llama32-3b,llama3,24
ollama-llama32-3b_Father_Mexico_female,domain,2,0,98,Mexico,Father,male,female,daughter,ollama-llama32-3b,llama3,2
ollama-llama32-3b_Father_Mexico_female,trait,0,0,98,Mexico,Father,male,female,daughter,ollama-llama32-3b,llama3,0
ollama-llama3-70b_Father_Mexico_female,role,26,11,90,Mexico,Father,male,female,daughter,ollama-llama3-70b,llama3,37
ollama-llama3-70b_Father_Mexico_female,domain,0,0,90,Mexico,Father,male,female,daughter,ollama-llama3-70b,llama3,0
ollama-llama3-70b_Father_Mexico_female,trait,0,0,90,Mexico,Father,male,female,daughter,ollama-llama3-70b,llama3,0
ollama-mistral-nemo_Father_Mexico_female,role,5,7,114,Mexico,Father,male,female,daughter,ollama-mistral-nemo,mistral,12
ollama-mistral-nemo_Father_Mexico_female,domain,0,0,114,Mexico,Father,male,female,daughter,ollama-mistral-nemo,mistral,0
ollama-mistral-nemo_Father_Mexico_female,trait,0,0,114,Mexico,Father,male,female,daughter,ollama-mistral-nemo,mistral,0
ollama-mistral-7b_Father_Mexico_female,role,10,11,106,Mexico,Father,male,female,daughter,ollama-mistral-7b,mistral,21
ollama-mistral-7b_Father_Mexico_female,domain,2,0,106,Mexico,Father,male,female,daughter,ollama-mistral-7b,mistral,2
ollama-mistral-7b_Father_Mexico_female,trait,0,0,106,Mexico,Father,male,female,daughter,ollama-mistral-7b,mistral,0
ollama-qwen25-7b_Father_Mexico_female,role,24,6,99,Mexico,Father,male,female,daughter,ollama-qwen25-7b,qwen25,30
ollama-qwen25-7b_Father_Mexico_female,domain,6,0,99,Mexico,Father,male,female,daughter,ollama-qwen25-7b,qwen25,6
ollama-qwen25-7b_Father_Mexico_female,trait,0,0,99,Mexico,Father,male,female,daughter,ollama-qwen25-7b,qwen25,0
ollama-qwen25-3b_Father_Mexico_female,role,21,0,46,Mexico,Father,male,female,daughter,ollama-qwen25-3b,qwen25,21
ollama-qwen25-3b_Father_Mexico_female,domain,2,0,46,Mexico,Father,male,female,daughter,ollama-qwen25-3b,qwen25,2
ollama-qwen25-3b_Father_Mexico_female,trait,0,0,46,Mexico,Father,male,female,daughter,ollama-qwen25-3b,qwen25,0
ollama-gemma2-2b_Father_Mexico_female,role,13,5,109,Mexico,Father,male,female,daughter,ollama-gemma2-2b,gemma,18
ollama-gemma2-2b_Father_Mexico_female,domain,0,0,109,Mexico,Father,male,female,daughter,ollama-gemma2-2b,gemma,0
ollama-gemma2-2b_Father_Mexico_female,trait,2,1,109,Mexico,Father,male,female,daughter,ollama-gemma2-2b,gemma,3
ollama-gemma3-12b_Father_Mexico_female,role,5,15,115,Mexico,Father,male,female,daughter,ollama-gemma3-12b,gemma,20
ollama-gemma3-12b_Father_Mexico_female,domain,0,1,115,Mexico,Father,male,female,daughter,ollama-gemma3-12b,gemma,1
ollama-gemma3-12b_Father_Mexico_female,trait,1,1,115,Mexico,Father,male,female,daughter,ollama-gemma3-12b,gemma,2
ollama-gemma3-27b_Father_Mexico_female,role,9,12,82,Mexico,Father,male,female,daughter,ollama-gemma3-27b,gemma,21
ollama-gemma3-27b_Father_Mexico_female,domain,0,1,82,Mexico,Father,male,female,daughter,ollama-gemma3-27b,gemma,1
ollama-gemma3-27b_Father_Mexico_female,trait,1,0,82,Mexico,Father,male,female,daughter,ollama-gemma3-27b,gemma,1
ollama-llama31-8b_Father_Mexico_male,role,14,8,85,Mexico,Father,male,male,son,ollama-llama31-8b,llama3,22
ollama-llama31-8b_Father_Mexico_male,domain,1,1,85,Mexico,Father,male,male,son,ollama-llama31-8b,llama3,2
ollama-llama31-8b_Father_Mexico_male,trait,0,1,85,Mexico,Father,male,male,son,ollama-llama31-8b,llama3,1
ollama-llama32-1b_Father_Mexico_male,role,1,0,15,Mexico,Father,male,male,son,ollama-llama32-1b,llama3,1
ollama-llama32-1b_Father_Mexico_male,domain,0,0,15,Mexico,Father,male,male,son,ollama-llama32-1b,llama3,0
ollama-llama32-1b_Father_Mexico_male,trait,0,0,15,Mexico,Father,male,male,son,ollama-llama32-1b,llama3,0
ollama-llama32-3b_Father_Mexico_male,role,8,14,91,Mexico,Father,male,male,son,ollama-llama32-3b,llama3,22
ollama-llama32-3b_Father_Mexico_male,domain,0,0,91,Mexico,Father,male,male,son,ollama-llama32-3b,llama3,0
ollama-llama32-3b_Father_Mexico_male,trait,0,1,91,Mexico,Father,male,male,son,ollama-llama32-3b,llama3,1
ollama-llama3-70b_Father_Mexico_male,role,17,10,93,Mexico,Father,male,male,son,ollama-llama3-70b,llama3,27
ollama-llama3-70b_Father_Mexico_male,domain,0,0,93,Mexico,Father,male,male,son,ollama-llama3-70b,llama3,0
ollama-llama3-70b_Father_Mexico_male,trait,1,0,93,Mexico,Father,male,male,son,ollama-llama3-70b,llama3,1
ollama-mistral-nemo_Father_Mexico_male,role,5,12,109,Mexico,Father,male,male,son,ollama-mistral-nemo,mistral,17
ollama-mistral-nemo_Father_Mexico_male,domain,1,0,109,Mexico,Father,male,male,son,ollama-mistral-nemo,mistral,1
ollama-mistral-nemo_Father_Mexico_male,trait,0,0,109,Mexico,Father,male,male,son,ollama-mistral-nemo,mistral,0
ollama-mistral-7b_Father_Mexico_male,role,8,17,112,Mexico,Father,male,male,son,ollama-mistral-7b,mistral,25
ollama-mistral-7b_Father_Mexico_male,domain,0,0,112,Mexico,Father,male,male,son,ollama-mistral-7b,mistral,0
ollama-mistral-7b_Father_Mexico_male,trait,0,0,112,Mexico,Father,male,male,son,ollama-mistral-7b,mistral,0
ollama-qwen25-7b_Father_Mexico_male,role,9,12,75,Mexico,Father,male,male,son,ollama-qwen25-7b,qwen25,21
ollama-qwen25-7b_Father_Mexico_male,domain,1,1,75,Mexico,Father,male,male,son,ollama-qwen25-7b,qwen25,2
ollama-qwen25-7b_Father_Mexico_male,trait,0,0,75,Mexico,Father,male,male,son,ollama-qwen25-7b,qwen25,0
ollama-qwen25-3b_Father_Mexico_male,role,10,5,71,Mexico,Father,male,male,son,ollama-qwen25-3b,qwen25,15
ollama-qwen25-3b_Father_Mexico_male,domain,5,0,71,Mexico,Father,male,male,son,ollama-qwen25-3b,qwen25,5
ollama-qwen25-3b_Father_Mexico_male,trait,0,1,71,Mexico,Father,male,male,son,ollama-qwen25-3b,qwen25,1
ollama-gemma2-2b_Father_Mexico_male,role,10,11,108,Mexico,Father,male,male,son,ollama-gemma2-2b,gemma,21
ollama-gemma2-2b_Father_Mexico_male,domain,1,0,108,Mexico,Father,male,male,son,ollama-gemma2-2b,gemma,1
ollama-gemma2-2b_Father_Mexico_male,trait,1,0,108,Mexico,Father,male,male,son,ollama-gemma2-2b,gemma,1
ollama-gemma3-12b_Father_Mexico_male,role,10,3,119,Mexico,Father,male,male,son,ollama-gemma3-12b,gemma,13
ollama-gemma3-12b_Father_Mexico_male,domain,0,0,119,Mexico,Father,male,male,son,ollama-gemma3-12b,gemma,0
ollama-gemma3-12b_Father_Mexico_male,trait,1,0,119,Mexico,Father,male,male,son,ollama-gemma3-12b,gemma,1
ollama-gemma3-27b_Father_Mexico_male,role,9,10,102,Mexico,Father,male,male,son,ollama-gemma3-27b,gemma,19
ollama-gemma3-27b_Father_Mexico_male,domain,0,0,102,Mexico,Father,male,male,son,ollama-gemma3-27b,gemma,0
ollama-gemma3-27b_Father_Mexico_male,trait,0,0,102,Mexico,Father,male,male,son,ollama-gemma3-27b,gemma,0
ollama-gptoss-20b_Father_Mexico_male,role,8,4,75,Mexico,Father,male,male,son,ollama-gptoss-20b,gptoss,12
ollama-gptoss-20b_Father_Mexico_male,domain,3,0,75,Mexico,Father,male,male,son,ollama-gptoss-20b,gptoss,3
ollama-gptoss-20b_Father_Mexico_male,trait,0,0,75,Mexico,Father,male,male,son,ollama-gptoss-20b,gptoss,0
ollama-llama31-8b_Father_Brazil_female,role,13,6,82,Brazil,Father,male,female,daughter,ollama-llama31-8b,llama3,19
ollama-llama31-8b_Father_Brazil_female,domain,1,0,82,Brazil,Father,male,female,daughter,ollama-llama31-8b,llama3,1
ollama-llama31-8b_Father_Brazil_female,trait,0,0,82,Brazil,Father,male,female,daughter,ollama-llama31-8b,llama3,0
ollama-llama32-1b_Father_Brazil_female,role,2,2,14,Brazil,Father,male,female,daughter,ollama-llama32-1b,llama3,4
ollama-llama32-1b_Father_Brazil_female,domain,0,0,14,Brazil,Father,male,female,daughter,ollama-llama32-1b,llama3,0
ollama-llama32-1b_Father_Brazil_female,trait,0,0,14,Brazil,Father,male,female,daughter,ollama-llama32-1b,llama3,0
ollama-llama32-3b_Father_Brazil_female,role,9,7,93,Brazil,Father,male,female,daughter,ollama-llama32-3b,llama3,16
ollama-llama32-3b_Father_Brazil_female,domain,0,0,93,Brazil,Father,male,female,daughter,ollama-llama32-3b,llama3,0
ollama-llama32-3b_Father_Brazil_female,trait,0,0,93,Brazil,Father,male,female,daughter,ollama-llama32-3b,llama3,0
ollama-llama3-70b_Father_Brazil_female,role,18,7,108,Brazil,Father,male,female,daughter,ollama-llama3-70b,llama3,25
ollama-llama3-70b_Father_Brazil_female,domain,3,0,108,Brazil,Father,male,female,daughter,ollama-llama3-70b,llama3,3
ollama-llama3-70b_Father_Brazil_female,trait,0,0,108,Brazil,Father,male,female,daughter,ollama-llama3-70b,llama3,0
